follow her advice	彼女の助言に従う
poor peasants in India	イント?の貧しい小作農
wear a silk garment	絹の衣服を身につける
the textile industry	織物工業
pay college tuition	大学の授業料を支払う
send Japanese troops abroad	日本の軍隊を海外に送る
humans and other primates	人間と他の霊長類
friction between the two countries	二国間の摩擦
his son and nephew	彼の息子と甥(おい)
"at an altitude of 30,000 feet"	高度3万フィート
the diagnosis of illness	病気の診断
the southern hemisphere	南半球
have long limbs	手足か?長い
a small fraction of the money	その金のほんの一部
the irony of fate	運命の皮肉
have a nightmare	悪夢を見る
discover a defect in the car	車の欠陥を見つける
an evil witch	邪悪な魔女
the sweet scent of roses	ハ?ラの甘い香り
prevent soil erosion	土壌の侵食を防く?
how to marry a millionaire	百万長者と結婚する方法
the human skeleton	人間の骨格
the grace of her movement	彼女のしく?さの優雅さ
visit some Paris landmarks	ハ?リの名所を訪ねる
endure terrible torture	恐ろしい拷問に耐える
government bureaucrats	政府の官僚
collision with the earth	地球との衝突
a hazard to health	健康にとって危険なもの
the tomb of the unknown soldier	無名戦士の墓
his broad brow	彼の広い額
go sightseeing in Venice	ヘ?ニスに観光に行く(見物)
a leather bag	革のかは?ん
a jewelry store	宝石店宝石類
read nonverbal cues	非言語的な合図を読み取る
Call an ambulance right away.	すく?に救急車を呼へ?
a real estate agent	不動産業者
an export commodity	輸出向けの商品
check the time of departure	出発時刻を確認する
enter a new phase	新しい段階に入る
a car thief	車泥棒
Saint Valentine	聖ハ?レンタイン
the high school curriculum	高校の教育課程
history and geography	歴史と地理
drive in the fast lane	追い越し車線を走る
the bulk of the population	人口の大部分
the exchange of body fluid	体液の交換
the former communist countries	元共産主義の国々
the bride and her father	花嫁とその父
military intervention in Iraq	イラクへの軍事介入
win by a wide margin	大差て?勝つ
a biography of Einstein	アインシュタインの伝記
painting and sculpture	絵と彫刻
a smoking volcano	噴煙を上け?る火山
anti-government rebels	反政府の反逆者たち
"the metaphor of the ""melting pot"""	「人種のるつほ?」という比喩
gun control legislation	銃規制の法律
be struck by lightning	雷に打たれる
the use of pesticides	殺虫剤の使用
Galileo's astronomy	カ?リレオの天文学
spread a rumor about her	彼女のうわさを広める
a humble manner	謙虚な態度て?話す
be entitled to the money	そのお金をもらう権利か?ある
a valid reason for coming late	遅れてくる正当な理由
an alien culture	異質な文化
a stiff attitude	堅苦しい態度
the most acute problem	最も深刻な問題
sit idle all day	なにもせす?一日座っている
crude stone tools	粗末な石器
be jealous of his success	彼の成功をねたむ
his pregnant wife	彼の妊娠している妻
be liable to forget it	それを忘れか?ちて?ある
be intent on marrying him	彼と結婚する決意をしている
a decent standard of living	まともな生活水準
a marvelous record	驚くへ?き記録
a misleading expression	誤解を招く表現
a tame monkey	人になれたサル
be in grave danger	重大な危機にある
fertile soil	肥えた土壌
a fantastic experience	すは?らしい経験
an abundant supply of food	豊富な食料供給
be alert to every sound	あらゆる音に用心する
a trivial matter	ささいな事柄
an information-oriented society	情報志向の社会
a splendid view	すは?らしい景色
a competent teacher	有能な教師
supreme joy	最高の喜ひ?
sheer good luck	全くの幸運
a land sacred to Islam	イスラム教徒の聖地
take bold action	大胆な行動をとる
feel uneasy about the future	将来について不安な気持ちになる
a neat clothes	きちんとした服
a shallow river	浅い川
a worker loyal to the company	会社に忠実な労働者
a superficial difference	表面的な違い
a completely absurd question	まったく馬鹿け?た質問
the fragile environment	壊れやすい環境
a girl from a respectable family	ちゃんとした家の娘
a magnificent view	年上の人を敬う
an infinite number of stars	それそ?れの地区の学校
a comprehensive study	すは?らしい光景
a steep slope	無限の数の星
compulsory education	包括的研究
prepare for subsequent events	険しい坂
her sincere efforts	義務教育
a timid child	後に起こる出来事に備える
take a neutral position	彼女の誠実な努力
a diligent student	臆病な子と?も
have a sore throat	中立の立場をとる
drink contaminated water	勤勉な学生
an ambiguous answer	喉か?痛い
an oral examination	汚染された水を飲む
spend a restless night	と?ちらとも取れる答
savage violence	口述の試験
vigorous activity	落ち着かない夜を過こ?す
a controversial social issue	野蛮な暴力
metropolitan areas	精力的な活動
be punctual for an appointment	物議を呼ふ?社会問題
a solitary old man	大都市圏
take a collective action	約束の時間をきっちり守る
the divine right of kings	孤独な老人
enlightened young people	集団行動をおこす
adolescent boys and girls	思春期の少年少女
his arrogant attitude	あいつのこ?う慢な態度
His company went bankrupt.	彼の会社は破産した
wish for eternal peace	永遠の平和を願う
the sole survivor	唯一の生存者
gloomy prospects	暗い見通し
a notable exception	注目すへ?き例外
the world's most affluent country	世界一裕福な国
a naked man	裸の男
my clumsy fingers	私の不器用な指
feminine beauty	女性の美しさ
sit down in a vacant seat	空いている席に座る
the Japanese aesthetic sense	日本人の美的感覚
the feudal system in the Edo Era	江戸時代の封建制度
humid summer weather	夏の蒸し暑い天気
an outstanding scholar	傑出した学者
be addicted to drugs	麻薬中毒て?ある
be vulnerable to attack	攻撃を受けやすい
spontaneous laughter	自然に起こる笑い
be greedy for money	金にと?ん欲た?
Salty food makes you thirsty.	塩分の多い食事て?のと?か?渇く
capita Japan's per capita income	日本の一人あたりの国民所得
dangers inherent in the sport	そのスホ?ーツに元から伴う危険
a promising new actress	前途有望な新人女優
physiological reactions	生理的な反応
the body's immune system	体の免疫組織
clinical trials of new drugs	新薬の臨床試験
chronic disease	慢性の病気
divisions of geological time	地質学的な時代区分
countless species of insects	無数の種類の昆虫
the vocal organ	発声器官
occur simultaneously	同時に起こる
utterly different from others	他人と全く異なる
stand upright	まっすく?に立つ
stay overnight in his house	彼の家て?一晩泊まる
"He always tells the truth, thereby avoiding trouble."	彼はいつも真実を述へ?、そうすることて?面倒を避けている
pay bills via the Internet	インターネット経由て?代金を払う
"the two cities, namely, Paris and Tokyo"	その2つの都市、すなわちハ?リと東京
"He tried hard, hence his success."	彼は努力した。た?から成功した。
proclaim their independence	彼らの独立を宣言する
smash a bottle	ヒ?ンを粉々に砕く
mourn Gandhi's death	カ?ンシ?ーの死を悲しむ
summon the police	警察を呼ふ?
shatter the window with a stone	石て?窓を粉々にする
linger in my memory	私の記憶に残る
lament the shortness of life	人生の短さを嘆く
be endowed with a talent	才能に恵まれる
rejoice at the success	成功を喜ふ?
whip a horse	馬をむち打つ
slap his face	彼の顔をヒ?シャリと打つ
contend that the earth is in danger	地球か?あふ?ないと主張する
swear never to drink again	二度と酒を飲まないと誓う
can discern the difference	違いを識別て?きる
degrade the environment	環境を悪化させる
peep between the curtains	カーテンの間からのそ?き見する
testify in court	法廷て?証言する
spur him into action	行動へと彼を駆りたてる
roam the streets freely	自由に街を歩き回る
boost the economy	経済を活気つ?ける
lure him into the room	彼を部屋に誘い込む
defy gravity	重力に逆らう
stroll in the park	公園をふ?らつく
can't dispense with cars	車なして?すますのはむりた?
reconcile religion with science	宗教と科学を調和させる
blur the distinction	区別をほ?やかす
soothe a crying child	泣く子供をなた?める
Alcohol impairs driving ability.	アルコールは運動能力を低下させる
sob in despair	絶望してむせひ?泣く
pierce my ears	耳に穴をあける
stumble on the stairs	階段て?つまつ?く
hinder economic development	経済の発展を妨け?る
mock her efforts	彼女の努力をあさ?ける
embody the American dream	アメリカント?リームを具現する
insert the key into the hole	穴にかき?を差し込む
stalk the prey	獲物に忍ひ?寄る
clarify the meaning of the word	単語の意味を明らかにする
The audience applauds.	観客か?拍手する
inflict pain on other people	人に苦痛を与える
merge with the company	その会社と合併する
reckon that he's right	彼を正しいと考える
What is done cannot be undone.	一度したことは元に戻らない(諺)
poke him in the eye	彼の目を突く
tumble from a horse	馬から落ちる
grumble about the high price	高い値段に不平を言う
compile a list of customers	顧客のリストをまとめる
The flower will wither in the cold.	花は寒さて?しほ?むた?ろう
stun the audience	聴衆をひ?っくりさせる
loom out of the clouds	雲の中からほ?うっと現れる
His health deteriorates.	彼の健康状態か?悪化する
evade responsibility	責任をのか?れる
murmur in a low voice	低い声て?つふ?やく
console her with kind words	やさしい言葉て?彼女をなく?さめる
duplicate a DVD	DVDを複製する
divert attention from the fact	事実から注意をそらす
slaughter animals	動物を虐殺する
reap large rewards	大きな報酬を手に入れる
affirm that it is true	それは本当た?と断言する
Mt. Fuji might erupt.	富士山は噴火するかもしれない
overthrow the government	政府を転覆させる
ponder a question	問題を熟考する
embark on a new adventure	新しい冒険に乗り出す
vow to fight	戦うことを誓う
foresee the future	未来を予知する
adore him as a god	神として彼を崇拝する
yearn for freedom	自由を切望する
undermine the US position	合衆国の立場を弱める
deplore violence on TV	テレヒ?の暴力を嘆く
pledge to support them	彼らを支持することを誓う
intrude on his private life	彼の私生活に立ち入る
sue a dotor	医者を訴える
the smell of rotting fish	腐敗する魚の臭い
extinguish the fire	火を消す
perplexing questions	困惑させる質問
curb population growth	人口増加を抑制する
withstand high temperature	高温に耐える
expel him from the country	国から彼を追放する
recite poetry	詩を暗唱する
her glittering eyes	彼女のキラキラ輝く瞳
plead with her to come back	彼女に戻るよう嘆願する
contemplate marrying him	彼との結婚を考える
discharge waste into rivers	川に廃水を放出する
preach to the crowd	群衆に説教する
rattle the windows	窓をか?たか?た鳴らす
retrieve information	情報を検索する
shrug your shoulders	肩をすほ?める
evoke a response	反応を呼ひ?起こす
adhere to the treaty	条約を堅く守る
choke on a piece of food	食へ?物て?のと?か?つまる
comply with the standards	基準に従う
write prose and poetry	散文と詩を書く
germs and viruses	細菌とウイルス
The thermometer shows 0°C.	温度計か?0°Cを示す。
the province of Quebec	ケヘ?ック州
masterpieces of French Art	フランス美術の傑作
"have revenue of $100,000"	10万ト?ルの収入か?ある
an anti-government riot	反政府の暴動
a breakthrough in technology	技術の飛躍的進歩
breathing apparatus	呼吸装置
make a fuss about nothing	くた?らないことに大騒き?する
a vitamin deficiency	ヒ?タミンの欠乏
the heir to the fortune	その財産の相続人
a jungle at the equator	赤道直下のシ?ャンク?ル
import petroleum	石油を輸入する
a birth certificate	出生証明書
Water changes into vapor.	水か?蒸気に変わる
a space probe	宇宙探査機
follow a religious doctrine	宗教の教義に従う
a laugh of scorn	軽蔑の笑い
the prophets of the Bible	聖書の預言者
physical torment	肉体的苦痛
walk along the pavement	歩道を歩く
Christmas ornaments	クリスマスの飾り
the worldwide AIDS epidemic	エイス?の世界的流行
the wrinkles around her eyes	彼女の目の周りのしわ
wait in a queue	一列て?待つ
a high-stakes poker game	賭け金の高いホ?ーカー
the French ambassador to Japan	駐日フランス大使
the judge and jury	裁判官と陪審員(団)
"To my dismay, he failed."	落胆したことに彼は失敗した
a lump on the head	頭のこふ?
a cry of anguish	苦痛の叫ひ?
at the outbreak of the war	戦争か?ほ?っ発したとき
accomplish a remarkable feat	素晴しい偉業をなしとけ?る
artistic temperament	芸術家的な気質
feel a chill	寒気を感し?る
America's trade deficit	アメリカの貿易赤字
his predecessor as manager	彼の前任の経営者
a child as an separate entity	独立した存在としての子供
receive warm hospitality	暖かい歓迎を受ける
America's infant mortality rate	アメリカの幼児死亡率
a narrative of his journey	彼の旅行の話
a small segment of the population	住民のほんの一部分
prevent a catastrophe	大災害を防止する
the British monarch	イキ?リスの君主
from the cradle to the grave	ゆりかこ?から墓場まて?(=一生)
call him a coward	彼をおくひ?ょう者よは?わりする
mysteries of the cosmos	宇宙の神秘
the end of an epoch	一つの時代の終わり
police headquarters	警察本部
an expressway toll	高速道路の通行料
a transaction with the company	その会社との取引
chronic fatigue syndrome	慢性疲労症候群
solve a difficult equation	難しい方程式を解く
put up with tyranny	圧政に耐える
tie a knot	結ひ?目を作る
women's intuition	女の直感
an incentive to study	勉強のはけ?み
a legacy of the Renaissance	ルネッサンスの遺産
the retail price	小売りの値段
the veins in the forehead	額の静脈(青筋)
a discourse on politics	政治についての論説
a high school diploma	高校の卒業証書
political propaganda	政治的な宣伝
an outlet for frustration	欲求不満のはけ口
watch with apprehension	不安そうに見つめる
a mood of melancholy	憂鬱な気分
the quest for novelty	目新しさの追求
a specimen of a rare plant	珍しい植物の標本
act like a barbarian	野蛮人のようにふるまう
use guerrilla tactics	ケ?リラ戦術を使う
a monopoly on the tea market	茶の市場の独占
as a token of our friendship	我々の友情の印として
the English aristocracy	イキ?リスの貴族階級
take revenge on the murderer	殺人者に復讐する
escape religious persecution	宗教的迫害を逃れる
empty rhetoric	中身のない美辞麗句
sexual harassment	性的いやか?らせ
carry out a census every ten years	10年毎に国勢調査をおこなう
be on the verge of dying	死の瀬戸際にいる
the advent of the Internet	インターネットの出現
an analogy between the brain and the computer	コンヒ?ュータと脳の類似点
irrigation in the desert	砂漠のかんか?い
the glare of the sun	太陽のまふ?しい輝き
impose economic sanctions	経済制裁を課す
a menace to world peace	世界平和に対する脅威
the perils of the road	道路の危険
the art of antiquity	古代の美術
assault on the enemy's base	敵基地への攻撃
the plight of the homeless	ホームレスの人々の苦境
individual autonomy	個人の自主性
the worst natural calamity	最悪の自然災害
a government subsidy	政府の補助金
a voice full of indignation	怒りに満ちた声
slang expressions	俗語表現
maintain a good posture	よい姿勢を保つ
the deadline for the report	レホ?ートの締めきり
a government supervisor	政府の監督者(管理者)
have a brain tumor	脳腫瘍か?あるはれた部分(=tumour)
turn right at the intersection	交差点て?右に曲か?る
go on an excursion to the park	公園へ遠足に行く
deforestation in the amazon	アマソ?ンの森林破壊
take precautions against fires	火事に用心する
an apple orchard	リンコ?の果樹園
put up with her shortcomings	彼女の欠点を我慢する
aspirations to be an artist	芸術家になりたいという熱望
psychologists and psychiatrists	心理学者と精神科医
packaging and shipping	包装と発送(輸送費)
a United States Senator	合衆国上院議員
an international statesman	国際的な政治家
instruct a subordinate	部下に指示する
fill the vacuum	空白を埋める
the quest for the truth	真理の探究
Buddhist meditation	仏教の瞑想
subscribers to the service	その事業の加入者
solve a riddle	謎を解く
use a rag	ほ?ろを使う
be covered with rust	さひ?て?覆われる
public sanitation	公衆衛生
in the midst of the lecture	授業のまったた?中に
childhood mischief	子供時代のいたす?ら
pull out the weeds	雑草を抜く
have no recollection of the past	過去の記憶か?ない
cramming for exams	試験対策のつめこみ
find flaws in the theory	その理論の欠陥を発見する
Botanists study plants.	植物学者は植物を研究する
Mendel's laws of heredity	メンテ?ルの遺伝の法則
in the domain of psychology	心理学の領域て?
censorship of the Internet	インターネットの検閲制度
take a large dose of vitamin C	大量のヒ?タミンCを服用する
a man of integrity	誠実な人
a freight train	貨物列車
take a bribe	わいろを受け取る
bones found by an archaeologist	考古学者に発見された骨
a stubborn father	頑固な父親
a world-renowned singer	世界的に有名な歌手
a transparent silk nightgown	透き通った絹のナイトカ?ウン
read in dim light	薄暗い明かりて?本を読む
escape from grim reality	きひ?しい現実から逃け?る
a legitimate claim	正当な要求
be weary from driving	車の運転て?疲れている
a swift reaction	すは?やい反応
a naive young girl	世間知らす?の若い娘
I'm not as dumb as I look.	私は見かけほと?馬鹿て?はない
sour grapes	すっは?いフ?ト?ウ
My father was furious with me.	父は私に激怒した
make an earnest effort	まし?めな努力をする
What a terrific idea!	何と素晴らしい考えた?ろう
a vertical wall of rock	垂直な岩壁
a wicked desire	邪悪な欲望
a subjective impression	主観的な印象
break off diplomatic relations	外交関係を断絶する
the gross domestic product	国内総生産(=GDP)
a nasty smell	不快なにおい
dazzling white teeth	まふ?しい白い歯
straightforward language	わかりやすい言葉使い
solemn classical music	荘厳なクラシック音楽
wipe with a damp towel	湿ったタオルて?ふく
static electricity	静電気
The plan is doomed to failure.	その計画は失敗する運命にある
his stern father	彼の厳格な父親
innumerable problems	無数の問題
a brutal murder	残忍な殺人事件
corrupt government officials	腐敗した政府の官僚たち
be obsessed with fear of death	死の恐怖にとりつかれる
a life detached from the world	世間から切り離された生活
innate ability to learn	先天的な学習能力
a wrecked ship	難破した船
his reckless driving	彼の無謀な運転
explicit sex scenes	露骨なセックスシーン
be preoccupied with the problem	その問題て?頭か?いっは?いた?
a gigantic spaceship	巨大な宇宙船
the most conspicuous example	最も顕著な例
a slender girl with long hair	長い髪のすらりとした女の子
a manifest mistake	明らかな誤り
keep the room tidy	部屋をきちんとしておく
a naughty little boy	いたす?らな少年
a skeptical view of life	懐疑的な人生観
a notorious murderer	悪名高い殺人犯
an anonymous letter	匿名の手紙
a monotonous school life	単調な学校生活
have ample opportunity to learn	学習する機会か?豊富にある
a trim appearance	こき?れいな様子
a toxic gas	有毒なカ?ス
be afflicted with AIDS	エイス?て?苦しんて?いる
an eloquent speech	雄弁な演説
a foul-smelling gas	不快なにおいのするカ?ス
a rise in juvenile crime	青少年の犯罪の増加
the most formidable enemy	最も手こ?わい敵
be prone to catch fire	燃えやすい
an arbitrary decision	勝手な決定
an ingenious design	独創的な設計
be enchanted by the music	音楽に魅惑される
a tender smile	やさしい笑顔
be outraged by his behavior	彼の振る舞いに憤慨している
his eccentric behavior	彼の風変わりな行動
be paralyzed from the waist down	下半身か?麻痺している
be compatible with my values	私の価値観に適合する
shout patriotic slogans	愛国的なスローカ?ンを叫ふ?
an eminent scientist	名高い科学者
an exquisite design	極めてすは?らしいテ?サ?イン
be completely insane	完全に気か?狂っている
be bewildered by many choices	選択肢の多さに当惑する
vulgar tastes	下品な趣味
secondhand smoke	間接喫煙
indigenous culture in Australia	オーストラリア固有の文化
be of the utmost importance	最も重要て?ある
a stray dog	宿なしの犬
intricate pattern	複雑な模様
a daring adventure	大胆な冒険
a mighty king	強力な王
a dry barren land	干からひ?た不毛の土地
harmful ultraviolet light	有害な紫外線
a very intriguing question	非常に興味深い問題
a merry man	陽気な男
synthetic chemicals	合成化学物質
a perpetual state	永続する状態
make a fake cake	にせ物のケーキを作る
an integral part of society	社会の不可欠な部分
change drastically	劇的に変化する
stop abruptly	不意に停止する
"He's a dog lover. Conversely, I hate them."	彼は犬か?好きた?。逆に私は犬嫌いた?。
predominantly female jobs	主に女性の仕事
